,Country,Gender,Company Industry,Age Range,Job seniority,Company Size,Count
320,VNM,Any Gender,Any Company Industry,35 to 54,Unpaid,Any Company Size,720
321,VNM,Any Gender,Any Company Industry,35 to 54,Unpaid,"10,001+ employees",0
322,VNM,Any Gender,Any Company Industry,35 to 54,Unpaid,"5001-10,000 employees",0
323,VNM,Any Gender,Any Company Industry,35 to 54,Unpaid,1001-5000 employees,0
324,VNM,Any Gender,Any Company Industry,35 to 54,Unpaid,501-1000 employees,0
325,VNM,Any Gender,Any Company Industry,35 to 54,Unpaid,201-500 employees,0
326,VNM,Any Gender,Any Company Industry,35 to 54,Unpaid,51-200 employees,0
327,VNM,Any Gender,Any Company Industry,35 to 54,Unpaid,11-50 employees,0
328,VNM,Any Gender,Any Company Industry,35 to 54,Unpaid,2-10 employees,0
329,VNM,Any Gender,Any Company Industry,35 to 54,Unpaid,Myself Only,0
330,VNM,Any Gender,Any Company Industry,25 to 34,Any Job Seniority,Any Company Size,2500000
331,VNM,Any Gender,Any Company Industry,25 to 34,Any Job Seniority,"10,001+ employees",140000
332,VNM,Any Gender,Any Company Industry,25 to 34,Any Job Seniority,"5001-10,000 employees",33000
333,VNM,Any Gender,Any Company Industry,25 to 34,Any Job Seniority,1001-5000 employees,78000
334,VNM,Any Gender,Any Company Industry,25 to 34,Any Job Seniority,501-1000 employees,56000
335,VNM,Any Gender,Any Company Industry,25 to 34,Any Job Seniority,201-500 employees,59000
336,VNM,Any Gender,Any Company Industry,25 to 34,Any Job Seniority,51-200 employees,81000
337,VNM,Any Gender,Any Company Industry,25 to 34,Any Job Seniority,11-50 employees,93000
338,VNM,Any Gender,Any Company Industry,25 to 34,Any Job Seniority,2-10 employees,67000
339,VNM,Any Gender,Any Company Industry,25 to 34,Any Job Seniority,Myself Only,12000
340,VNM,Any Gender,Any Company Industry,25 to 34,Owner,Any Company Size,25000
341,VNM,Any Gender,Any Company Industry,25 to 34,Owner,"10,001+ employees",1700
342,VNM,Any Gender,Any Company Industry,25 to 34,Owner,"5001-10,000 employees",310
